transaction_id,value_date,amount,remittance_info,sender_name
TXN0010,2026-04-12,30017.62,INV0019,Customer 007 Pvt Ltd
TXN0023,2026-04-26,11973.5,INV0171,Customer 018 Pvt Ltd
TXN0049,2026-03-11,54799.71,INV0080,Customer 025 Pvt Ltd
TXN0052,2026-03-18,9214.66,INV0101,Customer 024 Pvt Ltd
TXN0030,2026-03-02,7129.8,INV0129,Customer 015 Pvt Ltd
TXN0024,2026-04-10,58629.96,INV0037,Customer 025 Pvt Ltd
TXN0048,2026-01-12,5223.59,INV0004,Customer 028 Pvt Ltd
TXN0038,2026-04-15,102759.78,INV0131-0132,Customer 005 Pvt Ltd
TXN0055,2026-01-24,19056.94,N/A,Unregistered Payer
TXN0053,2026-04-15,35224.52,N/A,Unknown Sender Ltd
TXN0029,2026-02-19,30069.06,INV0073,Customer 028 Pvt Ltd
TXN0057,2026-04-02,16869.12,N/A,Unknown Sender Ltd
TXN0050,2026-05-22,56611.62,INV0040,Customer 008 Pvt Ltd
TXN0025,2026-02-03,46081.56,INV0163,Customer 016 Pvt Ltd
TXN0018,2026-03-15,65208.0,INV0064,Customer 016 Pvt Ltd
TXN0022,2026-01-17,25614.33,INV0025,Customer 021 Pvt Ltd
TXN0047,2026-02-06,3593.49,INV0117,Customer 028 Pvt Ltd
TXN0009,2026-04-09,44429.01,INV0057,Customer 026 Pvt Ltd
TXN0001,2026-03-22,60051.0,INV0102,Customer 035 Pvt Ltd
TXN0040,2026-05-26,47792.24,INV0105-0106,Customer 007 Pvt Ltd
TXN0004,2026-03-09,65024.01,INV0119,Customer 014 Pvt Ltd
TXN0031,2026-02-10,28839.21,INV0030,Customer 030 Pvt Ltd
TXN0011,2026-01-21,84134.32,INV0100,Customer 023 Pvt Ltd
TXN0019,2026-01-05,51792.83,INV0140,Customer 028 Pvt Ltd
TXN0033,2026-03-06,10213.26,INV0050,Customer 020 Pvt Ltd
TXN0037,2026-05-23,10486.18,INV0084,Customer 038 Pvt Ltd
TXN0006,2026-01-13,85903.22,INV0118,Customer 024 Pvt Ltd
TXN0015,2026-05-30,47540.39,INV0066,Customer 037 Pvt Ltd
TXN0005,2026-02-11,88318.74,INV0121,Customer 027 Pvt Ltd
TXN0056,2026-01-12,15001.86,N/A,Refund Co
TXN0054,2026-05-05,35278.17,N/A,Unregistered Payer
TXN0039,2026-01-30,37834.21,INV0070-0071,Customer 004 Pvt Ltd
TXN0042,2026-02-01,120766.51,INV0002+INV0044+INV0054,Customer 031 Pvt Ltd
TXN0002,2026-02-28,22961.55,INV0127,Customer 031 Pvt Ltd
TXN0007,2026-04-24,75718.29,INV0149,Customer 014 Pvt Ltd
TXN0014,2026-02-04,16555.23,INV0053,Customer 035 Pvt Ltd
TXN0016,2026-02-26,51005.66,INV0151,Customer 029 Pvt Ltd
TXN0044,2026-04-11,114153.69,INV0039+INV0180,Customer 036 Pvt Ltd
TXN0003,2026-02-27,87182.25,INV0027,Customer 005 Pvt Ltd
TXN0028,2026-05-18,27627.27,INV0038,Customer 030 Pvt Ltd
TXN0043,2026-05-27,82702.71,INV0006+INV0045,Customer 020 Pvt Ltd
TXN0020,2026-02-13,10119.16,INV0087,Customer 034 Pvt Ltd
TXN0045,2026-03-18,163164.26,INV0081+INV0086+INV0148,Customer 036 Pvt Ltd
TXN0041,2026-02-22,111950.82,INV0157-0158,Customer 005 Pvt Ltd
TXN0008,2026-04-17,15789.8,INV0090,Customer 016 Pvt Ltd
TXN0051,2026-03-29,65357.88,INV0133,Customer 035 Pvt Ltd
TXN0046,2026-01-07,69157.24,INV0076,Customer 035 Pvt Ltd
TXN0032,2026-03-30,61083.99,INV0142,Customer 005 Pvt Ltd
TXN0021,2026-04-12,65958.62,INV0146,Customer 027 Pvt Ltd
TXN0034,2026-02-26,10780.6,INV0175,Customer 010 Pvt Ltd
TXN0013,2026-04-12,86435.46,INV0178,Customer 027 Pvt Ltd
TXN0035,2026-01-25,30540.78,INV0152,Customer 011 Pvt Ltd
TXN0017,2026-02-24,65275.34,INV0094,Customer 017 Pvt Ltd
TXN0012,2026-03-28,46848.94,INV0150,Customer 039 Pvt Ltd
TXN0036,2026-02-14,46603.42,INV0023,Customer 016 Pvt Ltd
TXN0026,2026-05-12,43406.67,INV0166,Customer 029 Pvt Ltd
TXN0027,2026-05-28,52050.44,INV0093,Customer 038 Pvt Ltd
