invoice_id,customer_id,customer_name,invoice_amount,invoice_date,due_date
INV0001,CUST008,Customer 008 Pvt Ltd,71739.54,2026-01-07,2026-02-06
INV0002,CUST031,Customer 031 Pvt Ltd,17558.41,2026-02-27,2026-03-29
INV0003,CUST007,Customer 007 Pvt Ltd,12824.49,2026-05-20,2026-06-19
INV0004,CUST028,Customer 028 Pvt Ltd,7681.75,2026-01-09,2026-02-08
INV0005,CUST014,Customer 014 Pvt Ltd,50481.98,2026-03-01,2026-03-31
INV0006,CUST020,Customer 020 Pvt Ltd,22895.39,2026-05-24,2026-06-23
INV0007,CUST035,Customer 035 Pvt Ltd,24839.66,2026-04-18,2026-05-18
INV0008,CUST038,Customer 038 Pvt Ltd,77848.74,2026-03-13,2026-04-12
INV0009,CUST007,Customer 007 Pvt Ltd,67832.55,2026-02-10,2026-03-12
INV0010,CUST022,Customer 022 Pvt Ltd,18993.15,2026-03-13,2026-04-12
INV0011,CUST022,Customer 022 Pvt Ltd,13347.13,2026-01-27,2026-02-26
INV0012,CUST007,Customer 007 Pvt Ltd,81274.49,2026-04-02,2026-05-02
INV0013,CUST039,Customer 039 Pvt Ltd,77641.54,2026-03-09,2026-04-08
INV0014,CUST030,Customer 030 Pvt Ltd,16234.35,2026-05-18,2026-06-17
INV0015,CUST025,Customer 025 Pvt Ltd,54683.66,2026-01-21,2026-02-20
INV0016,CUST013,Customer 013 Pvt Ltd,56961.69,2026-04-03,2026-05-03
INV0017,CUST005,Customer 005 Pvt Ltd,64513.7,2026-01-12,2026-02-11
INV0018,CUST019,Customer 019 Pvt Ltd,81978.59,2026-01-21,2026-02-20
INV0019,CUST007,Customer 007 Pvt Ltd,30017.62,2026-04-08,2026-05-08
INV0020,CUST024,Customer 024 Pvt Ltd,38316.29,2026-02-11,2026-03-13
INV0021,CUST014,Customer 014 Pvt Ltd,68163.83,2026-03-10,2026-04-09
INV0022,CUST005,Customer 005 Pvt Ltd,53072.59,2026-02-13,2026-03-15
INV0023,CUST016,Customer 016 Pvt Ltd,46603.42,2026-02-11,2026-03-13
INV0024,CUST018,Customer 018 Pvt Ltd,24765.37,2026-05-23,2026-06-22
INV0025,CUST021,Customer 021 Pvt Ltd,25614.33,2026-01-15,2026-02-14
INV0026,CUST003,Customer 003 Pvt Ltd,41104.83,2026-03-22,2026-04-21
INV0027,CUST005,Customer 005 Pvt Ltd,87182.25,2026-02-24,2026-03-26
INV0028,CUST037,Customer 037 Pvt Ltd,24136.39,2026-03-22,2026-04-21
INV0029,CUST032,Customer 032 Pvt Ltd,84621.48,2026-04-12,2026-05-12
INV0030,CUST030,Customer 030 Pvt Ltd,28839.21,2026-02-06,2026-03-08
INV0031,CUST016,Customer 016 Pvt Ltd,53507.96,2026-05-24,2026-06-23
INV0032,CUST038,Customer 038 Pvt Ltd,85804.06,2026-04-20,2026-05-20
INV0033,CUST026,Customer 026 Pvt Ltd,24738.87,2026-04-03,2026-05-03
INV0034,CUST009,Customer 009 Pvt Ltd,49416.43,2026-05-11,2026-06-10
INV0035,CUST004,Customer 004 Pvt Ltd,18755.72,2026-01-29,2026-02-28
INV0036,CUST011,Customer 011 Pvt Ltd,58676.81,2026-04-19,2026-05-19
INV0037,CUST025,Customer 025 Pvt Ltd,58629.96,2026-04-08,2026-05-08
INV0038,CUST030,Customer 030 Pvt Ltd,27627.27,2026-05-16,2026-06-15
INV0039,CUST036,Customer 036 Pvt Ltd,66225.51,2026-01-03,2026-02-02
INV0040,CUST008,Customer 008 Pvt Ltd,72579.0,2026-05-18,2026-06-17
INV0041,CUST022,Customer 022 Pvt Ltd,31415.01,2026-01-29,2026-02-28
INV0042,CUST011,Customer 011 Pvt Ltd,5292.08,2026-04-27,2026-05-27
INV0043,CUST017,Customer 017 Pvt Ltd,73576.6,2026-05-09,2026-06-08
INV0044,CUST031,Customer 031 Pvt Ltd,83346.67,2026-01-28,2026-02-27
INV0045,CUST020,Customer 020 Pvt Ltd,59807.32,2026-05-10,2026-06-09
INV0046,CUST010,Customer 010 Pvt Ltd,73625.97,2026-04-06,2026-05-06
INV0047,CUST035,Customer 035 Pvt Ltd,87664.41,2026-05-16,2026-06-15
INV0048,CUST039,Customer 039 Pvt Ltd,48974.51,2026-03-24,2026-04-23
INV0049,CUST008,Customer 008 Pvt Ltd,84084.97,2026-04-03,2026-05-03
INV0050,CUST020,Customer 020 Pvt Ltd,10213.26,2026-03-03,2026-04-02
INV0051,CUST037,Customer 037 Pvt Ltd,12708.81,2026-01-21,2026-02-20
INV0052,CUST032,Customer 032 Pvt Ltd,93018.6,2026-01-18,2026-02-17
INV0053,CUST035,Customer 035 Pvt Ltd,16555.23,2026-02-02,2026-03-04
INV0054,CUST031,Customer 031 Pvt Ltd,19861.43,2026-05-21,2026-06-20
INV0055,CUST034,Customer 034 Pvt Ltd,91792.66,2026-04-19,2026-05-19
INV0056,CUST035,Customer 035 Pvt Ltd,69165.41,2026-02-21,2026-03-23
INV0057,CUST026,Customer 026 Pvt Ltd,44429.01,2026-04-06,2026-05-06
INV0058,CUST034,Customer 034 Pvt Ltd,15890.38,2026-04-26,2026-05-26
INV0059,CUST025,Customer 025 Pvt Ltd,35427.7,2026-01-17,2026-02-16
INV0060,CUST038,Customer 038 Pvt Ltd,25710.33,2026-05-22,2026-06-21
INV0061,CUST015,Customer 015 Pvt Ltd,11389.38,2026-01-02,2026-02-01
INV0062,CUST004,Customer 004 Pvt Ltd,11066.03,2026-02-28,2026-03-30
INV0063,CUST035,Customer 035 Pvt Ltd,11377.16,2026-03-26,2026-04-25
INV0064,CUST016,Customer 016 Pvt Ltd,65208.0,2026-03-13,2026-04-12
INV0065,CUST014,Customer 014 Pvt Ltd,16908.07,2026-05-19,2026-06-18
INV0066,CUST037,Customer 037 Pvt Ltd,47540.39,2026-05-28,2026-06-27
INV0067,CUST031,Customer 031 Pvt Ltd,22136.89,2026-04-15,2026-05-15
INV0068,CUST007,Customer 007 Pvt Ltd,36886.78,2026-04-21,2026-05-21
INV0069,CUST022,Customer 022 Pvt Ltd,82745.31,2026-04-30,2026-05-30
INV0070,CUST004,Customer 004 Pvt Ltd,10455.14,2026-01-26,2026-02-25
INV0071,CUST004,Customer 004 Pvt Ltd,27379.07,2026-01-28,2026-02-27
INV0072,CUST013,Customer 013 Pvt Ltd,45375.22,2026-05-18,2026-06-17
INV0073,CUST028,Customer 028 Pvt Ltd,30069.06,2026-02-16,2026-03-18
INV0074,CUST016,Customer 016 Pvt Ltd,44881.77,2026-01-20,2026-02-19
INV0075,CUST036,Customer 036 Pvt Ltd,9552.95,2026-01-26,2026-02-25
INV0076,CUST035,Customer 035 Pvt Ltd,92209.66,2026-01-04,2026-02-03
INV0077,CUST016,Customer 016 Pvt Ltd,41577.27,2026-02-12,2026-03-14
INV0078,CUST016,Customer 016 Pvt Ltd,82818.54,2026-02-24,2026-03-26
INV0079,CUST016,Customer 016 Pvt Ltd,39107.58,2026-02-12,2026-03-14
INV0080,CUST025,Customer 025 Pvt Ltd,88386.63,2026-03-09,2026-04-08
INV0081,CUST036,Customer 036 Pvt Ltd,43070.67,2026-03-15,2026-04-14
INV0082,CUST013,Customer 013 Pvt Ltd,18931.71,2026-05-05,2026-06-04
INV0083,CUST019,Customer 019 Pvt Ltd,92183.84,2026-02-25,2026-03-27
INV0084,CUST038,Customer 038 Pvt Ltd,10486.18,2026-05-19,2026-06-18
INV0085,CUST021,Customer 021 Pvt Ltd,9512.81,2026-01-15,2026-02-14
INV0086,CUST036,Customer 036 Pvt Ltd,87744.84,2026-05-09,2026-06-08
INV0087,CUST034,Customer 034 Pvt Ltd,10119.16,2026-02-10,2026-03-12
INV0088,CUST033,Customer 033 Pvt Ltd,81620.83,2026-01-21,2026-02-20
INV0089,CUST005,Customer 005 Pvt Ltd,65769.13,2026-01-18,2026-02-17
INV0090,CUST016,Customer 016 Pvt Ltd,15789.8,2026-04-14,2026-05-14
INV0091,CUST037,Customer 037 Pvt Ltd,57102.72,2026-03-05,2026-04-04
INV0092,CUST003,Customer 003 Pvt Ltd,42730.24,2026-01-21,2026-02-20
INV0093,CUST038,Customer 038 Pvt Ltd,52050.44,2026-05-25,2026-06-24
INV0094,CUST017,Customer 017 Pvt Ltd,65275.34,2026-02-22,2026-03-24
INV0095,CUST021,Customer 021 Pvt Ltd,28905.31,2026-03-03,2026-04-02
INV0096,CUST009,Customer 009 Pvt Ltd,46150.21,2026-03-18,2026-04-17
INV0097,CUST005,Customer 005 Pvt Ltd,46245.7,2026-01-03,2026-02-02
INV0098,CUST037,Customer 037 Pvt Ltd,11593.46,2026-01-26,2026-02-25
INV0099,CUST014,Customer 014 Pvt Ltd,28868.04,2026-05-10,2026-06-09
INV0100,CUST023,Customer 023 Pvt Ltd,84134.32,2026-01-18,2026-02-17
INV0101,CUST024,Customer 024 Pvt Ltd,19197.21,2026-03-14,2026-04-13
INV0102,CUST035,Customer 035 Pvt Ltd,60051.0,2026-03-19,2026-04-18
INV0103,CUST034,Customer 034 Pvt Ltd,65107.69,2026-01-03,2026-02-02
INV0104,CUST036,Customer 036 Pvt Ltd,88858.04,2026-03-18,2026-04-17
INV0105,CUST007,Customer 007 Pvt Ltd,28801.93,2026-02-04,2026-03-06
INV0106,CUST007,Customer 007 Pvt Ltd,18990.31,2026-05-22,2026-06-21
INV0107,CUST019,Customer 019 Pvt Ltd,69585.1,2026-02-23,2026-03-25
INV0108,CUST014,Customer 014 Pvt Ltd,50486.82,2026-03-09,2026-04-08
INV0109,CUST014,Customer 014 Pvt Ltd,13306.86,2026-01-14,2026-02-13
INV0110,CUST028,Customer 028 Pvt Ltd,8967.81,2026-03-12,2026-04-11
INV0111,CUST022,Customer 022 Pvt Ltd,62340.2,2026-02-03,2026-03-05
INV0112,CUST022,Customer 022 Pvt Ltd,71710.78,2026-02-11,2026-03-13
INV0113,CUST022,Customer 022 Pvt Ltd,55481.62,2026-04-20,2026-05-20
INV0114,CUST008,Customer 008 Pvt Ltd,90054.58,2026-01-20,2026-02-19
INV0115,CUST008,Customer 008 Pvt Ltd,8242.53,2026-05-20,2026-06-19
